,1,Sales Liquidation By SKU,Report  Date: 03-04-2024 10:04,,,,,,,
21827,TGM - SHANGHAI MIX - KILO,12-Mar-24,13-Mar-24,KG,0.26,88,98.55,77.43,9.29,86.72  
21832,TGM - PORK BELLY SOBI - KILO,12-Mar-24,12-Mar-24,KG,1.36,88,515.44,453.59,0,453.59  
21834,TGM - REGULAR GROUND PORK - KILO,12-Mar-24,12-Mar-24,KG,1.14,88,315.28,277.45,0,277.45  
21841,TGM - LEAN GROUND PORK - KILO,12-Mar-24,12-Mar-24,KG,0.23,88,76.28,67.13,0,67.13  
21849,TGM - PORK CUTLETS - KILO,12-Mar-24,12-Mar-24,KG,0.47,88,164.03,144.35,0,144.35  
21851,TGM - PORK LIVER - KILO,12-Mar-24,12-Mar-24,KG,0.82,88,145.89,128.38,0,128.38  
21859,TGM - PORK BACON SLICE - KILO,12-Mar-24,12-Mar-24,KG,0.26,88,101.75,89.54,0,89.54  
21859,TGM - PORK BACON SLICE - KILO,12-Mar-24,13-Mar-24,KG,0.27,88,105.74,93.05,0,93.05  
21865,TGM - PORK SAMGYEOPSAL - KILO,12-Mar-24,12-Mar-24,KG,2.49,88,989.53,870.79,0,870.79  
21866,TGM - PORK ADOBO CUT - KILO,12-Mar-24,12-Mar-24,KG,1.83,88,603.9,531.43,0,531.43  
21875,TGM - BEEF SHANK - KILO,12-Mar-24,12-Mar-24,KG,1.04,88,435.76,383.47,0,383.47  
21825,TGM - GROUND BEEF - KILO,13-Mar-24,13-Mar-24,KG,0.81,88,306.99,270.15,0,270.15  
21825,TGM - GROUND BEEF - KILO,13-Mar-24,14-Mar-24,KG,0.62,88,234.98,206.78,0,206.78  
21827,TGM - SHANGHAI MIX - KILO,13-Mar-24,13-Mar-24,KG,0.88,88,349.13,274.32,32.92,307.23  
21832,TGM - PORK BELLY SOBI - KILO,13-Mar-24,14-Mar-24,KG,0.83,88,314.57,276.82,0,276.82  
21834,TGM - REGULAR GROUND PORK - KILO,13-Mar-24,13-Mar-24,KG,1.6,88,442.23,389.16,0,389.16  
21834,TGM - REGULAR GROUND PORK - KILO,13-Mar-24,14-Mar-24,KG,0.51,88,140.9,123.99,0,123.99  
21838,TGM - PORK MENUDO CUT - KILO,13-Mar-24,13-Mar-24,KG,1.13,88,394.37,347.05,0,347.05  
21841,TGM - LEAN GROUND PORK - KILO,13-Mar-24,13-Mar-24,KG,3.34,88,"1,132.26",996.39,0,996.39  
21841,TGM - LEAN GROUND PORK - KILO,13-Mar-24,14-Mar-24,KG,0.39,88,130.52,114.86,0,114.86  
21846,TGM - PORK RIB SHOULDER - KILO,13-Mar-24,13-Mar-24,KG,0.67,88,233.83,205.77,0,205.77  
21851,TGM - PORK LIVER - KILO,13-Mar-24,13-Mar-24,KG,1.6,88,284.62,250.47,0,250.47  
21865,TGM - PORK SAMGYEOPSAL - KILO,13-Mar-24,13-Mar-24,KG,0.14,88,55.86,49.16,0,49.16  
21866,TGM - PORK ADOBO CUT - KILO,13-Mar-24,13-Mar-24,KG,4.33,88,"1,428.90","1,257.43",0,"1,257.43  "
21923,TGM - PORK GINISA CUT - KILO,13-Mar-24,13-Mar-24,KG,0.5,86,139.5,119.97,0,119.97  
22848,TGM - PORK PIGUE SOBL - KILO,13-Mar-24,13-Mar-24,KG,0.87,88,285.45,251.2,0,251.20  
21827,TGM - SHANGHAI MIX - KILO,14-Mar-24,14-Mar-24,KG,0.66,88,261.35,205.35,24.64,229.99  
21832,TGM - PORK BELLY SOBI - KILO,14-Mar-24,14-Mar-24,KG,1.26,88,451.86,397.64,0,397.64  
21837,TGM - PORK SINIGANG CUT - KILO,14-Mar-24,14-Mar-24,KG,0.36,88,93.24,82.05,0,82.05  
21841,TGM - LEAN GROUND PORK - KILO,14-Mar-24,14-Mar-24,KG,1.41,88,476.3,419.14,0,419.14  
21851,TGM - PORK LIVER - KILO,14-Mar-24,14-Mar-24,KG,2.18,88,389.33,342.61,0,342.61  
21866,TGM - PORK ADOBO CUT - KILO,14-Mar-24,14-Mar-24,KG,1.38,88,455.4,400.75,0,400.75  
21923,TGM - PORK GINISA CUT - KILO,14-Mar-24,14-Mar-24,KG,0.15,86,40.46,34.8,0,34.80  
21825,TGM - GROUND BEEF - KILO,15-Mar-24,15-Mar-24,KG,0.3,88,113.7,100.06,0,100.06  
21826,TGM - PORKCHOP SOBI - KILO,15-Mar-24,15-Mar-24,KG,1.36,88,432.25,380.38,0,380.38  
21827,TGM - SHANGHAI MIX - KILO,15-Mar-24,15-Mar-24,KG,0.78,88,284.14,223.25,26.79,250.04  
21832,TGM - PORK BELLY SOBI - KILO,15-Mar-24,15-Mar-24,KG,3.3,88,"1,246.92","1,097.29",0,"1,097.29  "
21834,TGM - REGULAR GROUND PORK - KILO,15-Mar-24,15-Mar-24,KG,1.02,88,284.58,250.43,0,250.43  
21834,TGM - REGULAR GROUND PORK - KILO,15-Mar-24,18-Mar-24,KG,0.62,88,172.98,152.22,0,152.22  
21834,TGM - REGULAR GROUND PORK - KILO,15-Mar-24,19-Mar-24,KG,0.18,88,50.22,44.19,0,44.19  
21837,TGM - PORK SINIGANG CUT - KILO,15-Mar-24,15-Mar-24,KG,0.91,88,234.4,206.27,0,206.27  
21838,TGM - PORK MENUDO CUT - KILO,15-Mar-24,15-Mar-24,KG,1.21,88,408.5,359.48,0,359.48  
21839,TGM - PATA SLICED - KILO,15-Mar-24,15-Mar-24,KG,0.32,88,95.68,84.2,0,84.20  
21841,TGM - LEAN GROUND PORK - KILO,15-Mar-24,15-Mar-24,KG,1.75,88,584.5,514.36,0,514.36  
21841,TGM - LEAN GROUND PORK - KILO,15-Mar-24,19-Mar-24,KG,0.3,88,100.2,88.18,0,88.18  
21842,TGM - PATA FRONT - KILO,15-Mar-24,15-Mar-24,KG,2.76,88,772.8,680.06,0,680.06  
21844,TGM - PORK BABY BACK RIBS - KILO,15-Mar-24,19-Mar-24,KG,1,88,459,403.92,0,403.92  
21846,TGM - PORK RIB SHOULDER - KILO,15-Mar-24,15-Mar-24,KG,1.4,88,486.86,428.44,0,428.44  
21846,TGM - PORK RIB SHOULDER - KILO,15-Mar-24,19-Mar-24,KG,1.26,88,439.74,386.97,0,386.97  
21851,TGM - PORK LIVER - KILO,15-Mar-24,15-Mar-24,KG,2.11,88,367.76,323.63,0,323.63  
21855,TGM - PORK TENDERLOIN - KILO,15-Mar-24,15-Mar-24,KG,0.76,88,286.15,251.81,0,251.81  
21865,TGM - PORK SAMGYEOPSAL - KILO,15-Mar-24,15-Mar-24,KG,1.26,88,461.26,405.91,0,405.91  
21866,TGM - PORK ADOBO CUT - KILO,15-Mar-24,15-Mar-24,KG,8.02,88,"2,630.43","2,314.78",0,"2,314.78  "
21866,TGM - PORK ADOBO CUT - KILO,15-Mar-24,19-Mar-24,KG,1.39,88,458.7,403.66,0,403.66  
21871,TGM - BEEF CUBES - KILO,15-Mar-24,15-Mar-24,KG,8.11,88,"3,879.91","3,414.32",0,"3,414.32  "
21890,TGM - BEEF MECHADO - KILO,15-Mar-24,15-Mar-24,KG,0.43,88,218.87,192.61,0,192.61  
21923,TGM - PORK GINISA CUT - KILO,15-Mar-24,15-Mar-24,KG,0.79,86,211.91,182.24,0,182.24  
22843,TGM - PORK SPARERIBS - KILO,15-Mar-24,15-Mar-24,KG,2.78,88,"1,134.98",998.78,0,998.78  
22843,TGM - PORK SPARERIBS - KILO,15-Mar-24,19-Mar-24,KG,0.64,88,261.76,230.35,0,230.35  
22845,TGM - PORK STROGANOFF - KILO,15-Mar-24,15-Mar-24,KG,0.16,88,58.75,51.7,0,51.70  
21825,TGM - GROUND BEEF - KILO,16-Mar-24,16-Mar-24,KG,0.86,88,322.16,283.5,0,283.50  
21826,TGM - PORKCHOP SOBI - KILO,16-Mar-24,16-Mar-24,KG,1.11,88,352.5,310.2,0,310.20  
21827,TGM - SHANGHAI MIX - KILO,16-Mar-24,16-Mar-24,KG,1.22,88,442.62,347.77,41.73,389.51  
21832,TGM - PORK BELLY SOBI - KILO,16-Mar-24,16-Mar-24,KG,3.4,88,"1,284.82","1,130.64",0,"1,130.64  "
21834,TGM - REGULAR GROUND PORK - KILO,16-Mar-24,16-Mar-24,KG,4.08,88,"1,123.63",988.79,0,988.79  
21834,TGM - REGULAR GROUND PORK - KILO,16-Mar-24,19-Mar-24,KG,2.64,88,735.17,646.95,0,646.95  
21838,TGM - PORK MENUDO CUT - KILO,16-Mar-24,16-Mar-24,KG,1.5,88,506.81,445.99,0,445.99  
21841,TGM - LEAN GROUND PORK - KILO,16-Mar-24,16-Mar-24,KG,0.67,88,223.78,196.93,0,196.93  
21842,TGM - PATA FRONT - KILO,16-Mar-24,19-Mar-24,KG,3.84,88,"1,073.80",944.94,0,944.94  
21851,TGM - PORK LIVER - KILO,16-Mar-24,16-Mar-24,KG,1.52,88,267.48,235.38,0,235.38  
21851,TGM - PORK LIVER - KILO,16-Mar-24,19-Mar-24,KG,0.92,88,163.79,144.14,0,144.14  
21859,TGM - PORK BACON SLICE - KILO,16-Mar-24,16-Mar-24,KG,0.41,88,163.59,143.96,0,143.96  
21859,TGM - PORK BACON SLICE - KILO,16-Mar-24,18-Mar-24,KG,0.29,88,115.71,101.82,0,101.82  
21865,TGM - PORK SAMGYEOPSAL - KILO,16-Mar-24,16-Mar-24,KG,0.75,88,273.07,240.3,0,240.30  
21866,TGM - PORK ADOBO CUT - KILO,16-Mar-24,16-Mar-24,KG,4.4,88,"1,452.00","1,277.76",0,"1,277.76  "
21866,TGM - PORK ADOBO CUT - KILO,16-Mar-24,19-Mar-24,KG,0.51,88,166.65,146.65,0,146.65  
21923,TGM - PORK GINISA CUT - KILO,16-Mar-24,16-Mar-24,KG,0.59,86,163.22,140.37,0,140.37  
22837,TGM - PORK KASIM SLBL - KILO,16-Mar-24,16-Mar-24,KG,1.14,88,409.26,360.15,0,360.15  
22843,TGM - PORK SPARERIBS - KILO,16-Mar-24,16-Mar-24,KG,1.63,88,631.4,555.63,0,555.63  
21825,TGM - GROUND BEEF - KILO,17-Mar-24,17-Mar-24,KG,0.27,88,102.33,90.05,0,90.05  
21826,TGM - PORKCHOP SOBI - KILO,17-Mar-24,17-Mar-24,KG,2.34,88,743.28,654.09,0,654.09  
21827,TGM - SHANGHAI MIX - KILO,17-Mar-24,17-Mar-24,KG,0.52,88,191.88,150.76,18.09,168.85  
21832,TGM - PORK BELLY SOBI - KILO,17-Mar-24,17-Mar-24,KG,3.52,88,"1,310.97","1,153.65",0,"1,153.65  "
21834,TGM - REGULAR GROUND PORK - KILO,17-Mar-24,17-Mar-24,KG,0.93,88,258.08,227.11,0,227.11  
21838,TGM - PORK MENUDO CUT - KILO,17-Mar-24,17-Mar-24,KG,0.28,88,94.92,83.53,0,83.53  
21841,TGM - LEAN GROUND PORK - KILO,17-Mar-24,17-Mar-24,KG,6.32,88,"2,094.18","1,842.88",0,"1,842.88  "
21841,TGM - LEAN GROUND PORK - KILO,17-Mar-24,20-Mar-24,KG,0.85,88,279.47,245.93,0,245.93  
21842,TGM - PATA FRONT - KILO,17-Mar-24,17-Mar-24,KG,2.18,88,610.4,537.15,0,537.15  
21844,TGM - PORK BABY BACK RIBS - KILO,17-Mar-24,20-Mar-24,KG,0.96,88,438.35,385.75,0,385.75  
21849,TGM - PORK CUTLETS - KILO,17-Mar-24,17-Mar-24,KG,0.47,88,164.03,144.35,0,144.35  
21851,TGM - PORK LIVER - KILO,17-Mar-24,17-Mar-24,KG,1.8,88,320.42,281.97,0,281.97  
21859,TGM - PORK BACON SLICE - KILO,17-Mar-24,17-Mar-24,KG,0.48,88,187.54,165.04,0,165.04  
21865,TGM - PORK SAMGYEOPSAL - KILO,17-Mar-24,17-Mar-24,KG,0.68,88,250.92,220.81,0,220.81  
21866,TGM - PORK ADOBO CUT - KILO,17-Mar-24,17-Mar-24,KG,5.14,88,"1,694.55","1,491.20",0,"1,491.20  "
21866,TGM - PORK ADOBO CUT - KILO,17-Mar-24,20-Mar-24,KG,1.06,88,349.8,307.82,0,307.82  
21873,TGM - BEEF SIRLOIN - KILO,17-Mar-24,17-Mar-24,KG,0.52,88,277.59,244.28,0,244.28  
21892,TGM - BEEF BREAKFAST STEAK - KILO,17-Mar-24,17-Mar-24,KG,0.11,88,60.39,53.14,0,53.14  
21923,TGM - PORK GINISA CUT - KILO,17-Mar-24,17-Mar-24,KG,0.47,86,131.13,112.77,0,112.77  
21923,TGM - PORK GINISA CUT - KILO,17-Mar-24,20-Mar-24,KG,0.19,86,51.62,44.39,0,44.39  
22843,TGM - PORK SPARERIBS - KILO,17-Mar-24,17-Mar-24,KG,2.84,88,"1,159.13","1,020.03",0,"1,020.03  "
21825,TGM - GROUND BEEF - KILO,18-Mar-24,18-Mar-24,KG,0.52,88,197.08,173.43,0,173.43  
21827,TGM - SHANGHAI MIX - KILO,18-Mar-24,18-Mar-24,KG,1.21,88,472.82,371.5,44.58,416.08  
21832,TGM - PORK BELLY SOBI - KILO,18-Mar-24,18-Mar-24,KG,1.11,88,418.8,368.54,0,368.54  
21834,TGM - REGULAR GROUND PORK - KILO,18-Mar-24,18-Mar-24,KG,1.64,88,450.52,396.46,0,396.46  
21834,TGM - REGULAR GROUND PORK - KILO,18-Mar-24,21-Mar-24,KG,0.3,88,83.7,73.66,0,73.66  
21838,TGM - PORK MENUDO CUT - KILO,18-Mar-24,18-Mar-24,KG,1.06,88,368.2,324.02,0,324.02  
21842,TGM - PATA FRONT - KILO,18-Mar-24,18-Mar-24,KG,1.57,88,439.6,386.85,0,386.85  
21851,TGM - PORK LIVER - KILO,18-Mar-24,18-Mar-24,KG,0.37,88,62.07,54.62,0,54.62  
21859,TGM - PORK BACON SLICE - KILO,18-Mar-24,18-Mar-24,KG,0.75,88,299.25,263.34,0,263.34  
21865,TGM - PORK SAMGYEOPSAL - KILO,18-Mar-24,18-Mar-24,KG,1.61,88,636.42,560.05,0,560.05  
21866,TGM - PORK ADOBO CUT - KILO,18-Mar-24,18-Mar-24,KG,1.19,88,382.3,336.42,0,336.42  
21892,TGM - BEEF BREAKFAST STEAK - KILO,18-Mar-24,18-Mar-24,KG,0.3,88,161.96,142.52,0,142.52  
21832,TGM - PORK BELLY SOBI - KILO,19-Mar-24,19-Mar-24,KG,2.37,88,894.45,787.12,0,787.12  
21834,TGM - REGULAR GROUND PORK - KILO,19-Mar-24,19-Mar-24,KG,2.27,88,653.15,574.77,0,574.77  
21834,TGM - REGULAR GROUND PORK - KILO,19-Mar-24,22-Mar-24,KG,0.29,88,83.81,73.75,0,73.75  
21837,TGM - PORK SINIGANG CUT - KILO,19-Mar-24,19-Mar-24,KG,1.49,88,399.47,351.53,0,351.53  
21838,TGM - PORK MENUDO CUT - KILO,19-Mar-24,19-Mar-24,KG,0.7,88,251.3,221.14,0,221.14  
21841,TGM - LEAN GROUND PORK - KILO,19-Mar-24,19-Mar-24,KG,0.3,88,102.96,90.6,0,90.60  
21844,TGM - PORK BABY BACK RIBS - KILO,19-Mar-24,19-Mar-24,KG,0.61,88,279.99,246.39,0,246.39  
21846,TGM - PORK RIB SHOULDER - KILO,19-Mar-24,19-Mar-24,KG,1.26,88,438,385.44,0,385.44  
21846,TGM - PORK RIB SHOULDER - KILO,19-Mar-24,20-Mar-24,KG,0.64,88,210.54,185.28,0,185.28  
21859,TGM - PORK BACON SLICE - KILO,19-Mar-24,19-Mar-24,KG,1.21,88,492.85,433.71,0,433.71  
21865,TGM - PORK SAMGYEOPSAL - KILO,19-Mar-24,19-Mar-24,KG,1.24,88,496.63,437.03,0,437.03  
21866,TGM - PORK ADOBO CUT - KILO,19-Mar-24,19-Mar-24,KG,7.78,88,"2,525.50","2,222.44",0,"2,222.44  "
21872,TGM - GROUND ROUND - KILO,19-Mar-24,19-Mar-24,KG,1.12,88,458.08,403.11,0,403.11  
21875,TGM - BEEF SHANK - KILO,19-Mar-24,19-Mar-24,KG,0.67,88,266.69,234.69,0,234.69  
22843,TGM - PORK SPARERIBS - KILO,19-Mar-24,19-Mar-24,KG,2.82,88,"1,233.60","1,085.57",0,"1,085.57  "
22848,TGM - PORK PIGUE SOBL - KILO,19-Mar-24,19-Mar-24,KG,1.1,88,371.21,326.66,0,326.66  
21827,TGM - SHANGHAI MIX - KILO,20-Mar-24,20-Mar-24,KG,0.43,88,169.58,133.24,15.99,149.23  
21832,TGM - PORK BELLY SOBI - KILO,20-Mar-24,20-Mar-24,KG,1.6,88,604.51,531.97,0,531.97  
21834,TGM - REGULAR GROUND PORK - KILO,20-Mar-24,20-Mar-24,KG,3.85,88,"1,095.77",964.28,0,964.28  
21837,TGM - PORK SINIGANG CUT - KILO,20-Mar-24,20-Mar-24,KG,1.07,88,287.83,253.29,0,253.29  
21841,TGM - LEAN GROUND PORK - KILO,20-Mar-24,20-Mar-24,KG,3.64,88,"1,263.40","1,111.79",0,"1,111.79  "
21851,TGM - PORK LIVER - KILO,20-Mar-24,20-Mar-24,KG,0.28,88,49.23,43.32,0,43.32  
21859,TGM - PORK BACON SLICE - KILO,20-Mar-24,20-Mar-24,KG,1.43,88,562.18,494.72,0,494.72  
21865,TGM - PORK SAMGYEOPSAL - KILO,20-Mar-24,20-Mar-24,KG,0.43,88,175.87,154.77,0,154.77  
21866,TGM - PORK ADOBO CUT - KILO,20-Mar-24,20-Mar-24,KG,3.57,88,"1,171.25","1,030.70",0,"1,030.70  "
21923,TGM - PORK GINISA CUT - KILO,20-Mar-24,20-Mar-24,KG,0.22,86,59.99,51.59,0,51.59  
21825,TGM - GROUND BEEF - KILO,21-Mar-24,21-Mar-24,KG,0.52,88,195.19,171.77,0,171.77  
21827,TGM - SHANGHAI MIX - KILO,21-Mar-24,21-Mar-24,KG,0.38,88,151.62,119.13,14.3,133.43  
21832,TGM - PORK BELLY SOBI - KILO,21-Mar-24,21-Mar-24,KG,1.96,88,742.84,653.7,0,653.70  
21834,TGM - REGULAR GROUND PORK - KILO,21-Mar-24,21-Mar-24,KG,1.67,88,471.87,415.25,0,415.25  
21841,TGM - LEAN GROUND PORK - KILO,21-Mar-24,21-Mar-24,KG,1.37,88,474.65,417.69,0,417.69  
21851,TGM - PORK LIVER - KILO,21-Mar-24,21-Mar-24,KG,4.95,88,884.27,778.16,0,778.16  
21859,TGM - PORK BACON SLICE - KILO,21-Mar-24,21-Mar-24,KG,1.41,88,566.98,498.94,0,498.94  
21866,TGM - PORK ADOBO CUT - KILO,21-Mar-24,21-Mar-24,KG,0.49,88,161.21,141.86,0,141.86  
21825,TGM - GROUND BEEF - KILO,22-Mar-24,22-Mar-24,KG,0.26,88,98.54,86.72,0,86.72  
21826,TGM - PORKCHOP SOBI - KILO,22-Mar-24,22-Mar-24,KG,3.47,88,"1,157.31","1,018.43",0,"1,018.43  "
21827,TGM - SHANGHAI MIX - KILO,22-Mar-24,22-Mar-24,KG,0.83,88,329.18,258.64,31.04,289.68  
21832,TGM - PORK BELLY SOBI - KILO,22-Mar-24,22-Mar-24,KG,1.07,88,405.53,356.87,0,356.87  
21834,TGM - REGULAR GROUND PORK - KILO,22-Mar-24,22-Mar-24,KG,2.92,88,841,740.08,0,740.08  
21837,TGM - PORK SINIGANG CUT - KILO,22-Mar-24,22-Mar-24,KG,5.62,88,"1,510.44","1,329.19",0,"1,329.19  "
21838,TGM - PORK MENUDO CUT - KILO,22-Mar-24,22-Mar-24,KG,0.94,88,335.67,295.39,0,295.39  
21841,TGM - LEAN GROUND PORK - KILO,22-Mar-24,22-Mar-24,KG,0.59,88,204.17,179.67,0,179.67  
21844,TGM - PORK BABY BACK RIBS - KILO,22-Mar-24,22-Mar-24,KG,0.88,88,403.92,355.45,0,355.45  
21849,TGM - PORK CUTLETS - KILO,22-Mar-24,22-Mar-24,KG,1.79,88,642.61,565.5,0,565.50  
21851,TGM - PORK LIVER - KILO,22-Mar-24,22-Mar-24,KG,2.25,88,400.97,352.85,0,352.85  
